Plant ID,Plant Name,Family,Watering Frequency,Min Ideal Temperature in Celicius,Max Ideal Temperature in Celicius,Sunlight,Air temperature in Celicius
1359525,Trifolium stellatum L.,Fabaceae,Every week,20,38,Full sun,22
1359526,Trifolium striatum L.,Fabaceae,Every week,20,38,Full sun,31
1359528,Trifolium subterraneum L.,Fabaceae,Every week,20,35,Full sun,20
1359530,Trifolium tomentosum L.,Fabaceae,Every week,20,38,Full sun,29
1359616,Punica granatum L.,Lythraceae,Every 1-2 weeks,5,38,Full sun,31
1359620,Alcea rosea L.,Malvaceae,Every week,0,35,Full sun,8
1359622,Althaea cannabina L.,Malvaceae,Every week,5,32,Full sun,16
1359625,Althaea officinalis L.,Malvaceae,Every week,0,32,Full sun,9
1359669,Nymphaea alba L.,Nymphaeaceae,Every week,5,35,Full sun,30
1359806,Hunnemannia fumariifolia Sweet,Papaveraceae,Every week,20,38,Full sun,21
1359815,Papaver atlanticum (Ball) Coss.,Papaveraceae,Every week,20,35,Full sun,28
1359821,Papaver rupifragum Boiss. & Reut.,Papaveraceae,Every week,20,35,Full sun,30
1360004,Goniolimon tataricum (L.) Boiss.,Plumbaginaceae,Every week,,,Full sun,0
1360147,Adonis aestivalis L.,Ranunculaceae,Every week,20,35,Full sun,20
1360148,Adonis annua L.,Ranunculaceae,Every week,20,35,Full sun,25
1360150,Adonis flammea Jacq.,Ranunculaceae,Twice per week,0,32,Full sun,18
1360152,Adonis microcarpa DC.,Ranunculaceae,Every week,15,38,Full sun,28
1360153,Anemone coronaria L.,Ranunculaceae,Every week,15,35,Full sun,32
1360154,Anemone palmata L.,Ranunculaceae,Every week,10,35,Full sun,13
1360427,Oldenlandia corymbosa L.,Rubiaceae,Every week,20,38,Full sun,27
1360550,Hyoscyamus albus L.,Solanaceae,Every week,20,35,Full sun,25
1360555,Hyoscyamus niger L.,Solanaceae,Every week,20,35,Full sun,34
1360588,Daphne gnidium L.,Thymelaeaceae,Every 2-3 weeks,15,35,Full sun,24
1360590,Daphne laureola L.,Thymelaeaceae,Every 1-2 weeks,10,35,Partial sun,14
1360591,Daphne oleoides Schreb.,Thymelaeaceae,Twice per week,15,35,Full sun,33
1360618,Berula erecta (Huds.) Coville,Apiaceae,Every week,0,32,Full sun,28
1360671,Chaerophyllum temulum L.,Apiaceae,Every week,20,35,Full sun,26
1360687,Daucus muricatus (L.) L.,Apiaceae,,,,,0
1360759,Meum athamanticum Jacq.,Apiaceae,Every week,10,35,Full sun,18
1360808,Thapsia garganica L.,Apiaceae,,,,,0
1360811,Thapsia villosa L.,Apiaceae,Every week,15,35,Full sun,16
1360835,Centranthus calcitrapae (L.) Dufr.,Caprifoliaceae,,,,,0
1360838,Fedia cornucopiae (L.) Gaertn.,Caprifoliaceae,,,,,0
1360976,Pancratium canariense Ker Gawl.,Amaryllidaceae,,,,,0
1360978,Pancratium maritimum L.,Amaryllidaceae,Every week,15,35,Full sun,23
1360998,Anthericum liliago L.,Asparagaceae,Every week,5,35,Full sun,5
1361024,Butomus umbellatus L.,Butomaceae,Once per day,20,35,Full sun,32
1361233,Danthonia decumbens (L.) DC.,Poaceae,Every week,0,25,Full sun,2
1361316,Leersia oryzoides (L.) Sw.,Poaceae,Every week,0,35,Full sun,3
1361357,Phalaris coerulescens Desf.,Poaceae,,,,,0
1361507,Oncostema elongata (Parl.) Speta,Caprifoliaceae,,,,,0
1361508,Oncostema peruviana (L.) Speta,Caprifoliaceae,,,,,0
1361524,Elodea canadensis Michx.,Hydrocharitaceae,Every week,5,35,Full sun,20
1361655,Neotinea maculata (Desf.) Stearn,Orchidaceae,Every week,5,32,Full sun,12
1361656,Ophrys apifera Huds.,Orchidaceae,Every 1-2 weeks,10,35,Partial sun,16
1361658,Ophrys bombyliflora Link,Orchidaceae,Every week,15,35,Partial sun,34
1361660,Ophrys fusca Link,Orchidaceae,Every week,10,35,Partial sun,25
1361663,Ophrys lutea Cav.,Orchidaceae,Every week,15,35,Full sun,25
1361666,Ophrys scolopax Cav.,Orchidaceae,Every week,20,38,Partial sun,33
1361668,Ophrys speculum Link,Orchidaceae,Every week,15,35,Partial sun,23
1361672,Ophrys tenthredinifera Willd.,Orchidaceae,Every week,15,35,Partial sun,28
1361704,Groenlandia densa (L.) Fourr.,Liliaceae,Every week,,,Full sun,0
1361745,Myosoton aquaticum (L.) Moench,Chickweed family (Caryophyllaceae),Every week,20,35,Full sun,24
1361759,Cirsium palustre (L.) Scop.,Asteraceae,Every week,20,35,Full sun,25
1361823,Lamium galeobdolon (L.) L.,Lamiaceae,Every week,20,35,Partial sun,20
1361824,Lavandula angustifolia Mill.,Lamiaceae,Every week,5,35,Full sun,29
1361847,Casuarina cunninghamiana Miq.,Casuarinaceae,Every 2-3 weeks,15,38,Full sun,26
1361850,Trifolium rubens L.,Fabaceae,Every week,5,35,Full sun,20
1361891,Falcaria vulgaris Bernh.,Apiaceae,Every week,10,25,Full sun,24
1362024,Hypericum triquetrifolium Turra,Hypericaceae,Twice per week,10,35,Full sun,11
1362064,Wigandia caracasana Kunth,Hydrophyllaceae,,,,,0
1362080,Nymphaea lotus L.,Nymphaeaceae,Every week,20,38,Full sun,30
1362192,Sedum villosum L.,Crassulaceae,Twice per week,20,38,Full sun,34
1362294,Epipactis helleborine (L.) Crantz,Orchidaceae,Every week,0,25,Partial sun,15
1362385,Thesium humifusum DC.,Santalaceae,Every week,,,Full sun,0
1362398,Acacia etbaica Schweinf.,Fabaceae,,,,,0
1362434,Centranthus angustifolius (Mill.) DC.,Caprifoliaceae,Every week,20,35,Full sun,34
1362435,Centranthus lecoqii Jord.,Caprifoliaceae,Every week,20,35,Full sun,28
1362489,Sedum anglicum Huds.,Crassulaceae,Every 2-3 weeks,20,38,Full sun,22
1362490,Sedum rupestre L.,Crassulaceae,Every week,10,35,Full sun,17
1362516,Ophrys insectifera L.,Orchidaceae,Every week,20,38,Partial sun,24
1362582,Freesia refracta (Jacq.) Klatt,Iridaceae,Every week,15,35,Full sun,29
1362834,Diatelia tuberaria (L.) Demoly,Portulacaceae,Every week,20,35,Full sun,32
1362927,Tradescantia pallida (Rose) D.R. Hunt,Commelinaceae,Every 1-2 weeks,20,38,Partial sun,29
1362928,Cenchrus longispinus (Hack.) Fernald,Poaceae,Every week,20,35,Full sun,20
1362954,Schefflera actinophylla (Endl.) Harms,Araliaceae,Every 1-2 weeks,20,38,Partial sun,20
1363016,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Poaceae,Every week,20,41,Full sun,33
1363019,Cenchrus purpureus (Schumach.) Morrone,Poaceae,Every week,15,38,Full sun,19
1363021,Cenchrus setaceus (Forssk.) Morrone,Poaceae,Twice per week,20,38,Full sun,33
1363110,Anemone hortensis L.,Ranunculaceae,Every week,0,32,Full sun,23
1363117,Tradescantia cerinthoides Kunth,Commelinaceae,Every week,20,41,Partial sun,33
1363126,Papaver argemone L.,Papaveraceae,Every week,20,35,Full sun,25
1363127,Papaver hybridum L.,Papaveraceae,Every week,20,35,Full sun,24
1363128,Papaver rhoeas L.,Papaveraceae,Every week,20,35,Full sun,33
1363129,Papaver dubium L.,Papaveraceae,Every week,20,35,Full sun,26
1363130,Papaver somniferum L.,Papaveraceae,Twice per week,20,35,Full sun,33
1363227,Daucus carota L.,Apiaceae,Twice per week,20,35,Full sun,30
1363336,Smilax aspera L.,Smilacaceae,Every 3 weeks,15,38,Full sun,36
1363343,Aizoon canariense L.,Aizoaceae,Every week,15,38,Full sun,26
1363359,Zannichellia palustris L.,Zannichelliaceae,Every week,0,21,Full sun,18
1363451,Secale cereale L.,Poaceae,Every week,20,35,Full sun,26
1363463,Cenchrus ciliaris L.,Poaceae,Every week,20,35,Full sun,24
1363464,Cenchrus echinatus L.,Poaceae,Every week,20,35,Full sun,31
1363489,Phalaris aquatica L.,Poaceae,Every week,0,35,Full sun,26
1363490,Phalaris arundinacea L.,Poaceae,Every week,5,25,Full sun,9
1363491,Phalaris canariensis L.,Poaceae,Every week,20,35,Full sun,30
1363492,Phalaris minor Retz.,Poaceae,Every week,,,Full sun,0
1363493,Phalaris paradoxa L.,Poaceae,Every week,,,Full sun,0
1363613,Sedum hispanicum L.,Crassulaceae,Every 3 weeks,5,35,Full sun,13
1363688,Crotalaria juncea L.,Fabaceae,Every week,20,38,Full sun,21
1363699,Lupinus angustifolius L.,Fabaceae,Every week,20,35,Full sun,23
1363700,Lupinus luteus L.,Fabaceae,Every week,20,35,Full sun,25
1363701,Lupinus pilosus L.,Fabaceae,Every week,20,38,Full sun,28
1363703,Lupinus albus L.,Fabaceae,Every week,20,38,Full sun,37
1363735,Trifolium alexandrinum L.,Fabaceae,Every week,0,35,Full sun,4
1363737,Trifolium dubium Sibth.,Fabaceae,Every week,20,35,Full sun,34
1363738,Trifolium glomeratum L.,Fabaceae,Every week,20,35,Full sun,23
1363739,Trifolium nigrescens Viv.,Fabaceae,Every week,20,38,Full sun,28
1363740,Trifolium repens L.,Fabaceae,Every week,0,35,Full sun,21
1363743,Dalbergia melanoxylon Guill. & Perr.,Fabaceae,,,,,0
1363749,Melilotus indicus (L.) All.,Fabaceae,Every week,20,35,Full sun,28
1363750,Melilotus officinalis (L.) Pall.,Fabaceae,Every week,20,35,Full sun,20
1363764,Acacia dealbata Link,Fabaceae,Every 1-2 weeks,15,38,Full sun,15
1363769,Acacia longifolia (Andrews) Willd.,Fabaceae,Every 1-2 weeks,20,38,Full sun,36
1363770,Acacia mearnsii De Wild.,Fabaceae,Every 2-3 weeks,5,35,Full sun,6
1363772,Acacia pycnantha Benth.,Fabaceae,Every 2 weeks,20,38,Full sun,27
1363778,Acacia retinodes Schltdl.,Fabaceae,Every 2-3 weeks,15,35,Full sun,23
1363871,Barbarea verna (Mill.) Asch.,Brassicaceae,Every week,20,35,Full sun,34
1363872,Barbarea intermedia Boreau,Brassicaceae,Every week,20,35,Full sun,20
1363970,Myosurus minimus L.,Ranunculaceae,Every week,20,38,Full sun,27
1363991,Fragaria vesca L.,Rosaceae,Every week,5,35,Full sun,9
1364000,Duchesnea indica (Jacks.) Focke,Rosaceae,,,,,0
1364099,Centranthus ruber (L.) DC.,Caprifoliaceae,Every week,20,35,Full sun,34
1364112,Guizotia abyssinica (L. f.) Cass.,Asteraceae,Every week,20,35,Full sun,26
1364158,Tagetes minuta L.,Asteraceae,Every week,20,38,Full sun,23
1364159,Tagetes patula L.,Asteraceae,Twice per week,20,38,Full sun,30
1364161,Calendula arvensis (Vaill.) L.,Asteraceae,Every week,20,35,Full sun,32
1364164,Lapsana communis L.,Asteraceae,Every week,20,35,Partial sun,23
1364165,Carthamus tinctorius L.,Asteraceae,Every week,20,38,Full sun,24
1364172,Lactuca sativa L.,Asteraceae,Twice per week,20,35,Full sun,25
1364173,Lactuca serriola L.,Asteraceae,Every week,20,35,Full sun,34
1364440,Arthraxon hispidus (Thunb.) Makino,Poaceae,Every week,,,Full sun,0
1364512,Microchloa kunthii Desv.,Poaceae,,,,,0
1365712,Harpachne schimperi Hochst. ex A. Rich.,Poaceae,,,,,0
1365961,Cedrela odorata L.,Meliaceae,Every 2-3 weeks,20,38,Full sun,36
1366875,Aeschynomene americana L.,Fabaceae,Every week,,,Full sun,0
1366898,Prosopis alba Griseb.,Fabaceae,,,,,0
1366899,Prosopis juliflora (Sw.) DC.,Fabaceae,Every 2-3 weeks,15,38,Full sun,18
1366997,Crotalaria spectabilis Roth,Fabaceae,Every week,20,38,Full sun,31
1367060,Crotalaria chrysochlora Baker f. ex Harms,Fabaceae,,,,,0
1367087,Crotalaria deflersii Schweinf.,Fabaceae,,,,,0
1367267,Crotalaria polysperma Kotschy,Fabaceae,,,,,0
1367343,Crotalaria uguenensis Taub.,Fabaceae,,,,,0
1367369,Crotalaria verrucosa L.,Fabaceae,Twice per week,15,38,Full sun,35
1367431,Lupinus perennis L.,Fabaceae,Every week,5,32,Full sun,26
1367432,Lupinus polyphyllus Lindl.,Fabaceae,Every 1-2 weeks,0,35,Full sun,29
1367781,Dalbergia latifolia Roxb.,Fabaceae,,,,,0
1367784,Cordyla africana Lour.,Fabaceae,,,,,0
1367921,Acacia xanthophloea Benth.,Fabaceae,,,,,0
1367938,Acacia drepanolobium Harms ex Y. Sj̦stedt,Fabaceae,,,,,0
1367949,Acacia hockii De Wild.,Fabaceae,,,,,0
1367998,Acacia angustissima (Mill.) Kuntze,Fabaceae,Every week,,,Full sun,0
1369472,Gomphocarpus integer (N.E. Br.) Bullock,Asclepiadaceae,,,,,0
1369887,Trachelospermum jasminoides (Lindl.) Lem.,Apocynaceae,Every week,15,38,Partial sun,26
1369960,Tradescantia spathacea Sw.,Commelinaceae,Every week,20,38,Partial sun,22
1370279,Gymnosporia putterlickioides Loes.,Celastraceae,,,,,0
1370991,Conostomium kenyense Bremek.,Rubiaceae,,,,,0
1370993,Conostomium quadrangulare (Rendle) Cufod.,Rubiaceae,,,,,0
1371680,Mussaenda frondosa L.,Rubiaceae,Every 2-3 weeks,20,38,Partial sun,32
1371691,Mussaenda erythrophylla Schumach. & Thonn.,Rubiaceae,Every 2-3 weeks,20,38,Full sun,26
1372016,Morinda citrifolia L.,Rubiaceae,Every 1-2 weeks,20,38,Full sun,29
1372602,Pilocarpus racemosus Vahl,Rutaceae,,,,,0
1373151,Pelargonium alchemilloides (L.) L'H̩r.,Geraniaceae,Every week,20,38,Full sun,27
1373231,Pelargonium quinquelobatum Hochst. ex A. Rich.,Geraniaceae,,,,,0
1373259,Pelargonium glechomoides A. Rich.,Geraniaceae,,,,,0
1373530,Gynura aurantiaca (Blume) DC.,Asteraceae,Every week,20,38,Full sun,27
1373535,Gynura procumbens (Lour.) Merr.,Asteraceae,,,,,0
1374048,Tagetes erecta L.,Asteraceae,Twice per week,20,38,Full sun,35
1374448,Aspilia mossambicensis (Oliv.) Wild,Asteraceae,,,,,0
1374450,Aspilia pluriseta Schweinf.,Asteraceae,,,,,0
1374466,Schkuhria pinnata (Lam.) Thell.,Asteraceae,Every week,,,Full sun,0
1374933,Montanoa hibiscifolia Benth.,Asteraceae,Every 2-3 weeks,15,35,Full sun,28
1375776,Acalypha crenata Hochst. ex A. Rich.,Euphorbiaceae,,,,,0
1375797,Acalypha hispida Burm. f.,Euphorbiaceae,Every week,20,41,Full sun,28
1375895,Phyllanthus fischeri Pax,Euphorbiaceae,,,,,0
1375954,Phyllanthus suffrutescens Pax,Euphorbiaceae,,,,,0
1375965,Phyllanthus acidus (L.) Skeels,Euphorbiaceae,Every 2-3 weeks,20,38,Full sun,28
1375966,Phyllanthus amarus Schumach. & Thonn.,Euphorbiaceae,Every week,20,38,Full sun,24
1376366,Triadica sebifera (L.) Small,Euphorbiaceae,Every 1-2 weeks,15,35,Full sun,30
1376703,Petiveria alliacea L.,Phytolaccaceae,Every week,20,38,Full sun,27
1376726,Peperomia pellucida (L.) Kunth,Piperaceae,Twice per week,20,38,Partial sun,23
1379303,Guaiacum officinale L.,Zygophyllaceae,Every 2-3 weeks,20,38,Full sun,36
1379513,Hypericum annulatum Moris,Hypericaceae,,,,,0
1379556,Mussaenda philippica A. Rich.,Rubiaceae,Every week,20,38,Full sun,33
1379585,Wigandia urens (Ruiz & Pav.) Kunth,Hydrophyllaceae,Every 2-3 weeks,15,35,Full sun,30
1380874,Boscia mossambicensis Klotzsch,Capparaceae,,,,,0
1380904,Boscia coriacea Pax,Capparaceae,,,,,0
1381173,Mecardonia procumbens (Mill.) Small,Scrophulariaceae,Every week,20,35,Full sun,33
1381468,Browallia americana L.,Solanaceae,Every week,20,38,Full sun,26
1382099,Acacia mangium Willd.,Fabaceae,Every 2-3 weeks,5,32,Full sun,8
1383149,Casuarina equisetifolia L.,Casuarinaceae,Every 1-2 weeks,20,38,Full sun,23
1383772,Aristea abyssinica Pax,Iridaceae,Every week,,,,0
1383774,Aristea ecklonii Baker,Iridaceae,Every week,20,38,Full sun,31
1384199,Erianthemum dregei (Eckl. & Zeyh.) Tiegh.,Rubiaceae,,,,,0
1384482,Cucurbita ficifolia Bouch̩,Cucurbitaceae,Every week,20,38,Full sun,20
1384485,Cucurbita pepo L.,Cucurbitaceae,Twice per week,20,35,Full sun,22
1384497,Luffa acutangula (L.) Roxb.,Cucurbitaceae,Every week,20,41,Full sun,31
1384499,Lagenaria siceraria (Molina) Standl.,Cucurbitaceae,Every week,20,38,Full sun,33
1384500,Lagenaria sphaerica (Sond.) Naudin,Cucurbitaceae,Every week,20,38,Full sun,25
1384760,Asystasia riparia Lindau,Acanthaceae,,,,,0
1385700,Barringtonia asiatica (L.) Kurz,Lecythidaceae,Every 2-3 weeks,20,38,Full sun,34
1385701,Couroupita guianensis Aubl.,Lecythidaceae,Every 3 weeks,20,38,Full sun,26
1385749,Asystasia charmian S. Moore,Acanthaceae,,,,,0
1385853,Raphia farinifera (Gaertn.) Hyl.,Arecaceae,Twice per week,20,38,Partial sun,24
1385937,Zamioculcas zamiifolia (Lodd.) Engl.,Araceae,Every 3 weeks,20,38,Partial sun,29
1387107,Kniphofia linearifolia Baker,Xanthorrhoeaceae,Every week,10,32,Full sun,12
1387284,Smilax anceps Willd.,Smilacaceae,,,,,0
1387687,Vanilla planifolia Andrews,Orchidaceae,Every week,20,38,Partial sun,29
1387727,Ansellia africana Lindl.,Orchidaceae,Every week,20,38,Partial sun,31
1388905,Hypericum balearicum L.,Hypericaceae,Twice per week,10,35,Full sun,34
1388911,Ophrys druentica P.Delforge & Viglione,Orchidaceae,,,,,0
1389016,Macrosyringion longiflorum (Vohl) Rothm.,Acanthaceae,,,,,0
1389031,Pyracantha koidzumii (Hayata) Rehder,Rosaceae,Every 2 weeks,15,35,Full sun,28
1389044,Lactuca plumieri (L.) Gren. & Godr.,Asteraceae,,,,,0
1389078,Aizoanthemum hispanicum (L.) H.E.K.Hartmann,Aizoaceae,,,,,0
1389230,Phedimus aizoon (L.) 't Hart,Crasulaceae,Every week,5,35,Full sun,24
1389231,Phedimus spurius (M.Bieb) 't Hart,Crasulaceae,Every 3 weeks,5,35,Full sun,20
